Departamento  de la Instituci¢n;Provincias dela Rep£blica  de Panam†;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Econ¢mico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;A§o Cierre de Queja;A§o Recibido de Queja
Veh°culo a Motor;Panam†;Ley 45 de 2007;45310;Ene 24;Falta de informaci¢n;BARCOS CALIPSO;Transporte (fletes, encomiendas y similares);;;27.5;Desistimiento;;45400;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45302;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45342;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45310;Ene 24;Incumplimiento de servicio;KLM;L°neas aÇreas;;;4497.16;Desistimiento;;45387;Abri 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45306;Ene 24;Incumplimiento de servicio;MOTORES JAPONESES;Agencia de autos;Suzuki;Pieza de Repuesto;1574.64;Desistimiento;;45498;Jul 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45309;Ene 24;Incumplimiento de garant°a;ARRENDADORA GLOBAL, S.A.;Alquiler de autos;Toyota;Auto;19995;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45301;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Desistimiento;;45310;Ene 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45308;Ene 24;Incumplimiento de garant°a;RICARDO PEREZ, S.A.;Agencia de autos;Toyota;Auto;22600;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45302;Ene 24;Incumplimiento de garant°a;STEVENÔS;AlmacÇn por departamentos;;Zapatos;26.74;Desistimiento/Devoluci¢n;;45349;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45310;Ene 24;Incumplimiento de garant°a;MOTORES JAPONESES;Agencia de autos;Suzuki;Auto;121.7;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45310;Ene 24;Incumplimiento de garant°a;TECH & HOUSE;ElectrodomÇsticos/equipos electr¢nicos;Frigidaire;Refrigeradora;1625.44;Transacci¢n extrajudicial;1625.44;45387;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45307;Ene 24;Da§os y perjuicios;COPA AIRLINES;L°neas aÇreas;;;698;Acuerdo en audiencia/Devoluci¢n de dinero;283.89;45407;Abri 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45310;Ene 24;Incumplimiento de garant°a;RICARDO PEREZ, S.A.;Agencia de autos;Toyota;Auto;27990;Desistimiento;;45415;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45307;Ene 24;Incumplimiento de garant°a;E-VISION;ElectrodomÇsticos/equipos electr¢nicos;Whirlpool;Lavaplatos;374.45;Desistimiento;;45362;Mar 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;TERPEL;Estaciones de gasolinas;KIA;Pieza de Repuesto;624.98;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45307;Ene 24;Incumplimiento de garant°a;MAXICOOL, S.A.;Servicios de instalaci¢n;Samsung;Aire acondicionado;385;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45316;Ene 24;Incumplimiento de garant°a;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Auto;14999;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45306;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Acuerdo en audiencia/Varios;;45330;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45316;Ene 24;Incumplimiento de garant°a;MOTO PARTE MPH S.A.;Agencia de motos;Xmotors;Pieza de Repuesto;1750;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45307;Ene 24;Falta de informaci¢n;SY &D ADVANCE AERONAUTICAL ADMINISTRATION AND SERVICES, S.A.;Celulares;;;32.1;Acuerdo en audiencia/Reemplazo;;45337;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45316;Ene 24;Custodia de bien;TAMBOR, S.A.;Taller de reparaci¢n de autos;Toyota;Pieza de Repuesto;1888.86;Abandono;;45560;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;12;Pendiente constancia desistimiento;;45350;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45314;Ene 24;Incumplimiento de garant°a;VENTA DE AUTOS 507, S.A.;Venta de autos usados;Honda;Auto;12125;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de garant°a;MILLENNIUM CAR SALES, S.A.;Taller de reparaci¢n de autos;KIA;Pieza de Repuesto;1934;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45313;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;115;Acuerdo en audiencia/Varios;;45369;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;25.5;Desistimiento;;45370;Mar 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de garant°a;EMPRESAS CARBONE, S.A.;Agencia de autos;Forthing;Auto;23240;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Incumplimiento de servicio;LOGI TRADING ENTERPRISES INC;Servicio de intermediaci¢n;;;338.05;Desistimiento/Devoluci¢n;;45349;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Custodia de bien;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Pieza de Repuesto;52.43;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Acuerdo en audiencia/Varios;;45378;Mar 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de garant°a;MOTORES JAPONESES;Agencia de autos;Suzuki;Auto;14490;Desistimiento;;45373;Mar 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de servicio;CLASS ONE SERVICES;Taller de reparaci¢n de autos;Hyundai;Pieza de Repuesto;2928.61;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Incumplimiento de servicio;PLANET AIR SPORT, S.A.;Discoteca/Sala de eventos;;;557.65;Corregidur°a/Casa de Justicia Comunitaria de Paz;;45387;Abri 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de servicio;AIRE SI;Taller de reparaci¢n de autos;Toyota;Pieza de Repuesto;1278.65;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Incumplimiento de garant°a;GLOBAL TECHNOLOGY SECURITY;ElectrodomÇsticos/equipos electr¢nicos;;Aire acondicionado;743.71;Desistimiento/Devoluci¢n;508.72;45337;Feb 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;LUMOVIL, S.A.;Repuestos para autos;Renault;Pieza de Repuesto;5500;Desistimiento;;45450;Jun 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Incumplimiento de garant°a;SONY STORE;ElectrodomÇsticos/equipos electr¢nicos;Sankey;C†mara;2032.99;Desistimiento;;45351;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45310;Ene 24;Incumplimiento de garant°a;HI-TECMOBILE;ElectrodomÇsticos/equipos electr¢nicos;Nintendo W11;Video juego;349;Corregidur°a/Casa de Justicia Comunitaria de Paz;;45372;Mar 24;2024;2024
Veh°culo a Motor;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de garant°a;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Auto;14999;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45310;Ene 24;Falta de informaci¢n;PREMIER;ElectrodomÇsticos/equipos electr¢nicos;Premier;Televisor;278.19;Acuerdo en audiencia/Varios;;45351;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45310;Ene 24;Cobro indebido;HOTEL ALOFT PANAMA;Hoteles o planes vacacionales;;;99;Acuerdo en audiencia/Devoluci¢n de dinero;99;45351;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45315;Ene 24;Incumplimiento de servicio;MULTISERVICIOS O&G;Servicios de instalaci¢n;;;1300;Temporal Juez Ejecutor;;45582;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45313;Ene 24;Resoluci¢n de contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;2304;Acuerdo en audiencia/Varios;;45596;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45313;Ene 24;Incumplimiento de servicio;FAST SERVICES CENTER;Repuestos y reparaciones (talleres varios no autos);;;26.75;Desistimiento/Devoluci¢n;;45322;Ene 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45313;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Pendiente constancia desistimiento;;45349;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45313;Ene 24;Cobro indebido;PRICESMART;Supermercados;;;5.89;Desistimiento;;45344;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45313;Ene 24;Incumplimiento de garant°a;PRICESMART;Supermercados;;Televisor;535;Resoluci¢n no acceder;;45422;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45314;Ene 24;Incumplimiento de garant°a;BBH, S.A.;Materiales de construcci¢n;;;184.33;Desistimiento/Devoluci¢n;;45322;Ene 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45314;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Desistimiento;;45357;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45315;Ene 24;Falta de informaci¢n;UNITED;Agencias de viajes;;;1502.65;Acuerdo en audiencia/Varios;;45392;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45315;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Resoluciones/Varios;;45349;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45315;Ene 24;Incumplimiento de garant°a;THE TEDDY FITNESS SHOW, S.A.;AlmacÇn de ropa y calzados;;Zapatos;64.19;Acuerdo en audiencia/Devoluci¢n de dinero;;45350;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45315;Ene 24;Incumplimiento de servicio;FUEGO FIN, S.A.;Servicios Profesionales;;;2727.96;Resoluci¢n/Devoluci¢n;2727.96;45489;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45316;Ene 24;Custodia de bien;TREZD DIGITAL STORE;Celulares;Samsung;Celular;1504.19;Resoluci¢n no acceder;;45422;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45316;Ene 24;Incumplimiento de contrato;S & G TRAVEL GROUP CORPORATION;Agencias de viajes;;;3194;Acuerdo en audiencia/Devoluci¢n de dinero;3194;45513;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45316;Ene 24;Incumplimiento de servicio;S & G TRAVEL GROUP CORPORATION;Agencias de viajes;;;3850;Acuerdo en audiencia/Devoluci¢n de dinero;3850;45516;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45316;Ene 24;Incumplimiento de contrato;S & G TRAVEL GROUP CORPORATION;Agencias de viajes;;;3194;Acuerdo en audiencia/Devoluci¢n de dinero;3194;45516;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45317;Ene 24;Falta de informaci¢n;RAMGUIFLEX, S.A.;Ventas de colchones;;Colch¢n;1022.79;Acuerdo en audiencia/Devoluci¢n de dinero;1022.79;45351;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45317;Ene 24;Incumplimiento de garant°a;PHOTURA;ElectrodomÇsticos/equipos electr¢nicos;;Centro de lavado;1123.45;Pendiente constancia desistimiento;;45329;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45317;Ene 24;Incumplimiento de garant°a;MOVIL PHONE, S.A.;Celulares;Samsung;Celular;110;Pendiente constancia desistimiento;110;45446;Jun 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45317;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20.5;Abandono;;45537;Sep 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45317;Ene 24;Incumplimiento de garant°a;SOUND N MUSIC;ElectrodomÇsticos/equipos electr¢nicos;Sankey;Refrigeradora;675;Desistimiento;;45343;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Tv por cable;;;37.63;Desistimiento;;45342;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45321;Ene 24;Resoluci¢n de contrato;MAS MOVIL;Telefonia;;Celular;30.26;Desistimiento;;45328;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45321;Ene 24;Falta de informaci¢n;OUTDOOR ADVENTURE;AlmacÇn de ropa y calzados;;Zapatos;266.43;Desistimiento/Devoluci¢n;266.43;45362;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45321;Ene 24;Incumplimiento de garant°a;PRICESMART;AlmacÇn por departamentos;LG;Refrigeradora;2139.99;Pendiente constancia desistimiento;;45378;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45321;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;37.94;Acuerdo en audiencia/Varios;;45386;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45321;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Desistimiento;;45344;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45350;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento/Devoluci¢n;;45357;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de contrato;CABLE & WIRELESS PANAMµ;Tv por cable;;;30;Desistimiento/Devoluci¢n;30;45343;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;INMOBILIARIA UNIVERSAL INTERNACIONAL, S.A.;Inmobiliarias;;Vivienda;2973.32;Desistimiento/Devoluci¢n;2973.32;45446;Jun 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;VIAJES COLOMBIA, S.A./;Agencias de viajes;;;3703.6;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Incumplimiento de servicio;GLOBAL DESIGN INTERNATIONAL CORP.;Muebler°as;;;800;Pendiente constancia desistimiento;;45377;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Desistimiento;;45366;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Desistimiento;;45363;Mar 24;2024;2024
Veracidad;Panam†;Ley 45 de 2007;45299;Ene 24;Veracidad de la publicidad;RIBA SMITH;Supermercados;;;15.65;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45294;Ene 24;Incumplimiento de garant°a;JONYCELL, S.A.;Celulares;Iphone;Celular;749;Desistimiento/Devoluci¢n;;45330;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45306;Ene 24;Incumplimiento de garant°a;HERRAMIENTA DEL CARMEN;Ferreter°as, materiales de construccion o similares;;Planta generadora de luz elÇctrica;450;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45315;Ene 24;Incumplimiento de servicio;FOTO SONIDO;ElectrodomÇsticos/equipos electr¢nicos;;Mesa comedor;400.18;Desistimiento;;45327;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45315;Ene 24;Incumplimiento de contrato;OPTIMIZA DEVELOPERS EL ALUREL DEL ESPINO S.A.;Inmobiliarias;;Vivienda;950;Ordena correcci¢n;;45436;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45293;Ene 24;Incumplimiento de garant°a;BODAPHONE;Celulares;;Playstation;460;Pendiente constancia desistimiento;;45349;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45294;Ene 24;Incumplimiento de garant°a;MAXICOOL, S.A.;Repuestos y reparaciones (talleres varios no autos);Samsung;Aire acondicionado;280;Temporal Juez Ejecutor;;45516;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45299;Ene 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;42;Pendiente constancia desistimiento;;45357;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45302;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;19.99;Acuerdo en audiencia/Varios;;45370;Mar 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45302;Ene 24;Falta de informaci¢n;GEMAS JOYEROS;Joyer°a/Relojer°as;Orient;Reloj;120;Desistimiento;;45330;Feb 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45309;Ene 24;Incumplimiento de garant°a;PREMIER;ElectrodomÇsticos/equipos electr¢nicos;Premier;Bocina;267.49;Pendiente constancia desistimiento;;45370;Mar 24;2024;2024
Decisi¢n;Bocas del Toro;Ley 45 de 2007;45306;Ene 24;Incumplimiento de garant°a;RUKEL S.A.;AlmacÇn por departamentos;;Congelador;213;Acuerdo/Reparaci¢n;;45392;Abri 24;2024;2024
Veh°culo a Motor;CoclÇ;Ley 14 de 2018;45306;Ene 24;Incumplimiento de garant°a;PANAMOTOR;Agencia de autos;;Auto;21500;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45296;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;20;Desistimiento;;45441;May 24;2024;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45313;Ene 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;26.32;Desistimiento;;45463;Jun 24;2024;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45295;Ene 24;Incumplimiento de garant°a;SUPER SONIDO;ElectrodomÇsticos/equipos electr¢nicos;Sankey;Refrigeradora;659;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45310;Ene 24;Incumplimiento de garant°a;DIGITAL AUDIO Y MUEBLES;AlmacÇn por departamentos;RCA;Lavadora;330;Desistimiento;;45411;Abri 24;2024;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45322;Ene 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;29;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45301;Ene 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;Chevrolet;Auto;22974;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45301;Ene 24;Devoluci¢n de dinero;LAMBDA PROMOCIONES E INMOBILIARIA, S.A.;Inmobiliarias;;;450;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45306;Ene 24;Incumplimiento de garant°a;MARI PEREZ MOTORS, S.A.;Agencia de autos;Peugeot;Auto;21293;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45309;Ene 24;Devoluci¢n de dinero;GRUPO SILABA;Agencia de autos;KIA;Auto;1378;Desistimiento;;45454;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45302;Ene 24;Resoluci¢n de contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Desistimiento;;45467;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45306;Ene 24;Incumplimiento de garant°a;CENTRO DOLLAR 1 2 3;AlmacÇn por departamentos;Xiaomi;Celular;175.47;Pendiente constancia desistimiento;;45436;May 24;2024;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45322;Ene 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;Chevrolet;Auto;28000;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45294;Ene 24;Devoluci¢n de dinero;CONSULTENOS, S.A.;Repuestos para autos;;;131;Desistimiento;;45453;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45307;Ene 24;Resoluci¢n de contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;20;Desistimiento;;45467;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45307;Ene 24;Custodia de bien;ALFEMO;Muebler°as;;Mueble de sala;481.5;Desistimiento;;45464;Jun 24;2024;2024
